"","campaign","site","ln_area_cm2WA","ColonyVolWA","ColonySAWA","ConvexityWA","SphericityWA","PackingWA","FracDimWA","VsaWA"
"1","1995","North Reef",10.8656994090809,14.0401094257947,10.8152733040157,-2.4609453120073,-4.61114277750587,0.390429872959794,2.43592273319042,2.47907805808332
"2","1995","South Island",10.2237759659171,13.6570949370635,10.5077993469482,-2.42863904951376,-4.57087792915352,0.367365442033678,2.44849293678696,2.47582947072518
"3","1996","Lizard Head",8.17740216786957,12.5465131342438,9.77719582230168,-1.91927705961335,-3.5467681420843,0.326360550337297,2.36183088483159,2.08895576666203
"4","1996","North Reef",8.87706581577706,12.9390162822259,10.0577512809359,-2.04528625059959,-3.76335438755863,0.342462127063332,2.37334454187603,2.16551705416339
"5","1996","South Island",7.352643448556,12.132556621817,9.39436478322052,-1.36994662018954,-2.42683316027752,0.236522794805727,2.26940076575609,1.69262574643621
"6","1996","Washing Machine",7.35972278163391,12.2784417962123,9.53060852110384,-0.653590571914012,-0.704628104773054,0.169050825441245,2.06782219317097,1.03661146452073
"7","1997","Lizard Head",7.41200328377756,12.1479283068948,9.55194167933128,-1.67054823679768,-3.01742725235984,0.319123018130438,2.30831191176749,1.88033395106468
"8","1997","North Reef",9.53621219070479,13.3014054844213,10.3745101730763,-2.27055283247645,-4.17587722067084,0.389210145518392,2.39841604920427,2.30228804769843
"9","1997","South Island",9.74681871135415,13.4045472022949,10.3922643642404,-2.32402309929751,-4.31206603181069,0.375679421702383,2.41903058449821,2.36541287252031
"10","1997","Washing Machine",9.58929416349816,13.3438676165551,10.251063473168,-2.02817738856782,-3.75240804051446,0.313546838523988,2.37545724321918,2.1796156521284
"11","2011","Horseshoe",7.28563025737454,12.166612420867,10.0602868745618,-1.52867372383515,-2.56050564823164,0.486003682664311,2.20461934498168,1.55337858359368
"12","2011","Lagoon 1",4.9991405901044,11.0593023207848,8.72241961247654,0.346862881302608,0.623970154830383,0.171938404192736,2.00401454358824,0.491876031334745
"13","2011","Lagoon 2",6.6087460868097,11.7799470696079,9.70849173039017,-1.08278712073641,-1.6638767136439,0.395163870097819,2.15429284055902,1.20189518891559
"14","2011","Lizard Head",5.51357095065213,11.1700658712005,9.2565682618228,-1.53304059525079,-3.22413282199195,0.560151238895925,2.35393729774505,1.65637397090601
"15","2011","North Reef",6.83634345650976,11.7825448102382,9.43176074309535,-1.95033720002311,-3.63251127688016,0.421018202513845,2.40529432775477,2.05833800870024
"16","2011","Trimodal",5.76576803750232,11.2776209345905,9.19202422539064,-1.53158152703303,-2.96860235946848,0.45978141333188,2.32649778370189,1.69638744338682
"17","2014","Horseshoe",6.61914712553013,11.8723529279691,9.59226988606826,-0.836326831103854,-1.14109526604215,0.350036314936787,2.11649899927106,1.05997967704424
"18","2014","Lagoon 1",5.78174481794964,11.4615608649678,9.10410959566166,-0.109815686097402,-0.121161073930833,0.257630269043813,2.07703662746947,0.706286805195402
"19","2014","Lagoon 2",6.041153950005,11.4213556171687,9.60204718922515,-2.03432550190537,-3.74038365420514,0.618845595491008,2.37188844382158,1.9330678963371
"20","2014","Lizard Head",6.08547876717181,11.4779167740799,9.6092059494141,-1.81977366337864,-3.35602559665639,0.559954673361543,2.29062672310526,1.80701176045916
"21","2014","North Reef",5.91570504355925,11.6618854662021,8.95339464965234,0.792479030949886,1.95090341854795,0.00319733025382069,1.81759828124395,0.0858941743002642
"22","2014","Trimodal",5.77630312023277,11.2351616202999,9.15846140402928,-1.80307655677203,-3.34802541892503,0.45623951783489,2.3597906002461,1.87079214472802
"23","2015","Cooks Path",5.2785058836832,11.3278898248699,8.65386005874603,1.13310890644629,2.25138701066766,-0.0216375480697151,1.8115178493115,-0.00483024009733061
"24","2015","Easter Point",4.34064331876345,10.6841233134954,8.48806577330168,0.204321855781231,0.272533502058287,0.177794500451803,2.01656244198571,0.698350235724553
"25","2015","Gnarly Tree",4.61454047835387,10.7824173161778,8.60511961021233,-0.175796217485792,-0.32238577418937,0.234831428539584,2.08635079414828,0.852617551695602
"26","2015","Horseshoe",8.23843539336965,12.7672932810733,10.4368210398019,-1.27762645935024,-2.19161690905135,0.482670981298752,2.16315187487071,1.44378052914046
"27","2015","Lagoon 1",5.20192897099352,11.2384180679818,8.73162808121986,0.708971318253222,1.36213872883751,0.0800581609841154,1.91156869411102,0.326347680033716
"28","2015","Lagoon 2",6.74050667691885,11.7959348196311,10.0207638598981,-2.35002768968769,-4.3497838622701,0.672069022805828,2.36245315470052,2.17921138476827
"29","2015","Lizard Head",3.17482682934156,9.89766398261371,7.97103950853653,-0.431817528782275,-1.24400970394355,0.305862511023685,2.24096477850749,1.10902668985392
"30","2015","Mermaid Cove",4.70261506185889,10.8830657941705,8.57081240279355,0.366911783751726,0.848082386942832,0.101099742344781,1.93488014282258,0.453558328388078
"31","2015","North of Paradise",4.4843022401042,10.6718301349884,8.63499132840276,-0.420743501298886,-0.837289908852317,0.279944460582463,2.11222188940871,0.958021268100561
"32","2015","North Reef",3.94133048139126,10.2263716741934,8.56060946492626,-0.956715690167701,-1.65739825899504,0.324952738015099,2.15869252396907,1.19535019004962
"33","2015","Osprey",6.0372041954361,11.7422285191987,8.98168077981051,0.883233707939667,2.03364171304039,0.00148412405077772,1.81901309527987,0.0408022611179545
"34","2015","Resort",7.63821189075733,12.5314578551293,10.0370009388771,-0.815657872837212,-2.46634774326767,0.566750138600968,2.29283540302365,1.13606483406245
